juni	June
bruger	use/ do use/ is using
rød	red
tomat	tomato
tomaten	the tomato
agurk	cucumber
grøn	green
agurken	the cucumber
leger	play/ am playing/ are playing
lillesøster	little sister
lillebror	little brother
baby	baby
sød	cute
storesøster	big sister
storebror	big brother
elsker	love/ loves
farfar	paternal granddad/ a paternal granddad/ dad's dad
tante	aunt
kone	wife
farmor	dad's mom/ paternal grandmother/ grandmom
klaver	piano
mormor	mom's mom/ maternal grandmother/ grandmom
din	your/ yours
morfar	mom's dad/ slang for "nap"/ maternal grandfather
onkel	uncle
ven	friend
sjov	funny
min	my
taxa	taxi
her	here
hvilken	which
by	city
billet	ticket
toget	the train
kender	know/ do know/ knows
bussen	the bus
hurtigt	fast/ quickly
hvem	who
hvilket	which/ what
skolen	the school
tager	are going/ take/ going
tog	train
kører	does drive/ am riding/ drive
cykler	bike/ bikes/ is biking
bus	bus
bilen	the car
hen	(expresses a moderate distance)/ over
skole	school
i skole	to school
kvinden	the woman
de	they
skoven	the forest
løber	running/ are running/ is running
vi	we
manden	the man/ the husband
sammen	together
skov	forest
med	on/ to/ because of
musik	music
guitar	guitar
musikken	the music
ingen	no one
lytter	is listening/ are listening/ listen
til	with/ regarding/ till
danser	is dancing/ are dancing/ dances
måske	maybe
drengen	the boy
nogen	someone
amerikansk	American
fodbold	football/ soccer
spiller	play/ do play/ does play
ikke	not
noget	something
skriver	writing/ am writing/ is writing
pigen	the girl
bil	car
cykel	bike
huset	the house
bordet	the table
ny	new
sælger	sell/ is selling/ sells
nyt	new/ new one
på	on
supermarkedet	the supermarket
værelset	the room
bjerget	the mountain
toilettet	the toilet
åben	open
grøntsag	vegetable
supermarked	supermarket
butik	shop
toiletpapir	toilet paper
butikken	the shop/ the store
lukket	closed
frugt	fruit
glasset	the glass
æblet	the apple
ægget	the egg
køber	am buying/ buy/ is buying
krabbe	crab
elefant	elephant
bjørn	bear
ugle	owl
sulten	hungry
dyret	the animal
hesten	the horse
koen	the cow
mus	mouse
græs	grass
ulv	wolf
hest	horse
dyr	animal
brun	brown
okse	ox
ko	cow
anden	second/ second of/ the duck
møder	is meeting/ do meet/ will meet
kyllingen	the chicken
hvid	white
fuglen	the bird
fisk	fish
sort	black
katten	the cat
kylling	chicken
hunden	the dog
and	duck
fugl	bird
vi ses	see you
hjælp	help
rasmus	Rasmus (male name)
det var så lidt	you are welcome
mad	food
hvordan	how
å	å/ aa (unofficial)
har du det	are you feeling/ are you doing/ are you
det	the/ the ... one/ that
har det	has the/ are doing/ am doing
dårligt	bad/ unwell/ poorly
josefine	Josefine (female name)
tur	trip/ turn/ walk
hav en god	Have a good
weekend	weekend
dag	day
okay	okay/ alright/ OK
undskyld	sorry
der	that/ who/ which
toilet	toilet
bord	table
køkkenbord	kitchen table
soveværelse	bedroom
seng	bed
træt	tired
sover	sleep/ do sleep/ does sleep
går	go/ does go/ am going
sov godt	sleep well/ sleep tight
køkken	kitchen
godt	well/ fine/ alright
lille	small
hjem	home
lejlighed	apartment
avis	newspaper
god	good
brev	letter
bog	book
læser	is studying/ studies/ am reading
brød	bread
bacon	bacon
æg	egg
koldt	cold
vand	water
glas	glass
kan lide	like/ likes
pige	girl
is	ice/ ice cream/ ice creams
lækker	delicious
pære	pear
ung	young
spiser	eat/ do eat/ does eat
gul	yellow
banan	banana
dreng	boy
æble	apple
hotel	hotel
dyrt	expensive
værelse	room
gammelt	old
billigt	cheap
pas	passport
stort	great/ big/ large
rødt	red
det er	it is/ that is/ we have
land	country
træ	tree
bjerg	mountain
